#ChapterID	SentenceID	TokenID	Token	Lemma	POS
1	1	1	The	The	DT
1	1	2	Sound	Sound	NN
1	1	3	of	of	IN
1	1	4	the	the	DT
1	1	5	Shell	Shell	NNP
1	1	6	The	The	DT
1	1	7	boy	boy	NN
1	1	8	with	with	IN
1	1	9	fair	fair	JJ
1	1	10	hair	hair	NN
1	1	11	lowered	lower	VBD
1	1	12	himself	himself	PRP
1	1	13	down	down	RP
1	1	14	the	the	DT
1	1	15	last	last	JJ
1	1	16	few	few	JJ
1	1	17	feet	foot	NNS
1	1	18	of	of	IN
1	1	19	rock	rock	NN
1	1	20	and	and	CC
1	1	21	began	begin	VBD
1	1	22	to	to	TO
1	1	23	pick	pick	VB
1	1	24	his	his	PRP$
1	1	25	way	way	NN
1	1	26	toward	toward	IN
1	1	27	the	the	DT
1	1	28	lagoon	lagoon	NN
1	1	29	.	.	.
1	2	1	Though	Though	IN
1	2	2	he	he	PRP
1	2	3	had	have	VBD
1	2	4	taken	take	VBN
1	2	5	off	off	RP
1	2	6	his	his	PRP$
1	2	7	school	school	NN
1	2	8	sweater	sweater	NN
1	2	9	and	and	CC
1	2	10	trailed	trail	VBD
1	2	11	it	it	PRP
1	2	12	now	now	RB
1	2	13	from	from	IN
1	2	14	one	one	CD
1	2	15	hand	hand	NN
1	2	16	,	,	,
1	2	17	his	his	PRP$
1	2	18	grey	grey	JJ
1	2	19	shirt	shirt	JJ
1	2	20	stuck	stick	VBN
1	2	21	to	to	TO
1	2	22	him	him	PRP
1	2	23	and	and	CC
1	2	24	his	his	PRP$
1	2	25	hair	hair	NN
1	2	26	was	be	VBD
1	2	27	plastered	plaster	VBN
1	2	28	to	to	TO
1	2	29	his	his	PRP$
1	2	30	forehead	forehead	NN
1	2	31	.	.	.
1	3	1	All	All	DT
1	3	2	round	round	VBD
1	3	3	him	him	PRP
1	3	4	the	the	DT
1	3	5	long	long	JJ
1	3	6	scar	scar	NN
1	3	7	smashed	smash	VBN
1	3	8	into	into	IN
1	3	9	the	the	DT
1	3	10	jungle	jungle	NN
1	3	11	was	be	VBD
1	3	12	a	a	DT
1	3	13	bath	bath	NN
1	3	14	of	of	IN
1	3	15	heat	heat	NN
1	3	16	.	.	.
1	4	1	He	He	PRP
1	4	2	was	be	VBD
1	4	3	clambering	clamber	VBG
1	4	4	heavily	heavily	RB
1	4	5	among	among	IN
1	4	6	the	the	DT
1	4	7	creepers	creeper	NNS
1	4	8	and	and	CC
1	4	9	broken	broken	JJ
1	4	10	trunks	trunk	NNS
1	4	11	when	when	WRB
1	4	12	a	a	DT
1	4	13	bird	bird	NN
1	4	14	,	,	,
1	4	15	a	a	DT
1	4	16	vision	vision	NN
1	4	17	of	of	IN
1	4	18	red	red	JJ
1	4	19	and	and	CC
1	4	20	yellow	yellow	JJ
1	4	21	,	,	,
1	4	22	flashed	flashed	JJ
1	4	23	upwards	upwards	NNS
1	4	24	with	with	IN
1	4	25	a	a	DT
1	4	26	witch-like	witch-like	JJ
1	4	27	cry	cry	NN
1	4	28	;	;	:
1	4	29	and	and	CC
1	4	30	this	this	DT
1	4	31	cry	cry	NN
1	4	32	was	be	VBD
1	4	33	echoed	echo	VBN
1	4	34	by	by	IN
1	4	35	another	another	DT
1	4	36	.	.	.
1	5	1	``	``	``
1	5	2	Hi	Hi	NN
1	5	3	!	!	.
1	5	4	''	''	''
1	6	1	it	it	PRP
1	6	2	said	say	VBD
1	6	3	.	.	.
1	7	1	``	``	``
1	7	2	Wait	Wait	VB
1	7	3	a	a	DT
1	7	4	minute	minute	NN
1	7	5	!	!	.
1	7	6	''	''	''
1	8	1	The	The	DT
1	8	2	undergrowth	undergrowth	NN
1	8	3	at	at	IN
1	8	4	the	the	DT
1	8	5	side	side	NN
1	8	6	of	of	IN
1	8	7	the	the	DT
1	8	8	scar	scar	NN
1	8	9	was	be	VBD
1	8	10	shaken	shake	VBN
1	8	11	and	and	CC
1	8	12	a	a	DT
1	8	13	multitude	multitude	NN
1	8	14	of	of	IN
1	8	15	raindrops	raindrop	NNS
1	8	16	fell	fell	VBD
1	8	17	pattering	patter	VBG
1	8	18	.	.	.
1	9	1	``	``	``
1	9	2	Wait	Wait	VB
1	9	3	a	a	DT
1	9	4	minute	minute	NN
1	9	5	,	,	,
1	9	6	''	''	''
1	9	7	the	the	DT
1	9	8	voice	voice	NN
1	9	9	said	say	VBD
1	9	10	.	.	.
1	10	1	``	``	``
1	10	2	I	I	PRP
1	10	3	got	get	VBD
1	10	4	caught	catch	VBN
1	10	5	up	up	RP
1	10	6	.	.	.
1	10	7	''	''	''
1	11	1	The	The	DT
1	11	2	fair	fair	JJ
1	11	3	boy	boy	NN
1	11	4	stopped	stop	VBD
1	11	5	and	and	CC
1	11	6	jerked	jerk	VBD
1	11	7	his	his	PRP$
1	11	8	stockings	stocking	NNS
1	11	9	with	with	IN
1	11	10	an	an	DT
1	11	11	automatic	automatic	JJ
1	11	12	gesture	gesture	NN
1	11	13	that	that	WDT
1	11	14	made	make	VBD
1	11	15	the	the	DT
1	11	16	jungle	jungle	NN
1	11	17	seem	seem	VBP
1	11	18	for	for	IN
1	11	19	a	a	DT
1	11	20	moment	moment	NN
1	11	21	like	like	IN
1	11	22	the	the	DT
1	11	23	Home	Home	NNP
1	11	24	Counties	Counties	NNP
1	11	25	.	.	.
1	12	1	The	The	DT
1	12	2	voice	voice	NN
1	12	3	spoke	speak	VBD
1	12	4	again	again	RB
1	12	5	.	.	.
1	13	1	``	``	``
1	13	2	I	I	PRP
1	13	3	ca	ca	MD
1	13	4	n't	n't	RB
1	13	5	hardly	hardly	RB
1	13	6	move	move	VB
1	13	7	with	with	IN
1	13	8	all	all	PDT
1	13	9	these	these	DT
1	13	10	creeper	creeper	JJ
1	13	11	things	thing	NNS
1	13	12	.	.	.
1	13	13	''	''	''
1	14	1	The	The	DT
1	14	2	owner	owner	NN
1	14	3	of	of	IN
1	14	4	the	the	DT
1	14	5	voice	voice	NN
1	14	6	came	come	VBD
1	14	7	backing	back	VBG
1	14	8	out	out	IN
1	14	9	of	of	IN
1	14	10	the	the	DT
1	14	11	undergrowth	undergrowth	NN
1	14	12	so	so	IN
1	14	13	that	that	DT
1	14	14	twigs	twig	NNS
1	14	15	scratched	scratch	VBD
1	14	16	on	on	IN
1	14	17	a	a	DT
1	14	18	greasy	greasy	JJ
1	14	19	wind-breaker	wind-breaker	NN
1	14	20	.	.	.
1	15	1	The	The	DT
1	15	2	naked	naked	JJ
1	15	3	crooks	crook	NNS
1	15	4	of	of	IN
1	15	5	his	his	PRP$
1	15	6	knees	knee	NNS
1	15	7	were	be	VBD
1	15	8	plump	plump	JJ
1	15	9	,	,	,
1	15	10	caught	caught	JJ
1	15	11	and	and	CC
1	15	12	scratched	scratch	VBN
1	15	13	by	by	IN
1	15	14	thorns	thorn	NNS
1	15	15	.	.	.
1	16	1	He	He	PRP
1	16	2	bent	bend	VBD
1	16	3	down	down	RB
1	16	4	,	,	,
1	16	5	removed	remove	VBD
1	16	6	the	the	DT
1	16	7	thorns	thorn	NNS
1	16	8	carefully	carefully	RB
1	16	9	,	,	,
1	16	10	and	and	CC
1	16	11	turned	turn	VBD
1	16	12	around	around	RP
1	16	13	.	.	.
1	17	1	He	He	PRP
1	17	2	was	be	VBD
1	17	3	shorter	short	JJR
1	17	4	than	than	IN
1	17	5	the	the	DT
1	17	6	fair	fair	JJ
1	17	7	boy	boy	NN
1	17	8	and	and	CC
1	17	9	very	very	RB
1	17	10	fat	fat	JJ
1	17	11	.	.	.
1	18	1	He	He	PRP
1	18	2	came	come	VBD
1	18	3	forward	forward	RB
1	18	4	,	,	,
1	18	5	searching	search	VBG
1	18	6	out	out	RP
1	18	7	safe	safe	JJ
1	18	8	lodgments	lodgment	NNS
1	18	9	for	for	IN
1	18	10	his	his	PRP$
1	18	11	feet	foot	NNS
1	18	12	,	,	,
1	18	13	and	and	CC
1	18	14	then	then	RB
1	18	15	looked	look	VBD
1	18	16	up	up	RP
1	18	17	through	through	IN
1	18	18	thick	thick	JJ
1	18	19	spectacles	spectacle	NNS
1	18	20	.	.	.
1	19	1	``	``	``
1	19	2	Where	Where	WRB
1	19	3	's	's	VBZ
1	19	4	the	the	DT
1	19	5	man	man	NN
1	19	6	with	with	IN
1	19	7	the	the	DT
1	19	8	megaphone	megaphone	NN
1	19	9	?	?	.
1	19	10	''	''	''
1	20	1	The	The	DT
1	20	2	fair	fair	JJ
1	20	3	boy	boy	NN
1	20	4	shook	shake	VBD
1	20	5	his	his	PRP$
1	20	6	head	head	NN
1	20	7	.	.	.
1	21	1	``	``	``
1	21	2	This	This	DT
1	21	3	is	be	VBZ
1	21	4	an	an	DT
1	21	5	island	island	NN
1	21	6	.	.	.
1	22	1	At	At	IN
1	22	2	least	least	JJS
1	22	3	I	I	PRP
1	22	4	think	think	VBP
1	22	5	it	it	PRP
1	22	6	's	's	VBZ
1	22	7	an	an	DT
1	22	8	island	island	NN
1	22	9	.	.	.
1	23	1	That	That	DT
1	23	2	's	's	VBZ
1	23	3	a	a	DT
1	23	4	reef	reef	NN
1	23	5	out	out	RP
1	23	6	in	in	IN
1	23	7	the	the	DT
1	23	8	sea	sea	NN
1	23	9	.	.	.
1	24	1	Perhaps	Perhaps	RB
1	24	2	there	there	EX
1	24	3	are	be	VBP
1	24	4	n't	n't	RB
1	24	5	any	any	DT
1	24	6	grownups	grownup	NNS
1	24	7	anywhere	anywhere	RB
1	24	8	.	.	.
1	24	9	''	''	''
1	25	1	The	The	DT
1	25	2	fat	fat	JJ
1	25	3	boy	boy	NN
1	25	4	looked	look	VBD
1	25	5	startled	startle	VBN
1	25	6	.	.	.
1	26	1	``	``	``
1	26	2	There	There	EX
1	26	3	was	be	VBD
1	26	4	that	that	IN
1	26	5	pilot	pilot	NN
1	26	6	.	.	.
1	27	1	But	But	CC
1	27	2	he	he	PRP
1	27	3	was	be	VBD
1	27	4	n't	n't	RB
1	27	5	in	in	IN
1	27	6	the	the	DT
1	27	7	passenger	passenger	NN
1	27	8	cabin	cabin	NN
1	27	9	,	,	,
1	27	10	he	he	PRP
1	27	11	was	be	VBD
1	27	12	up	up	RB
1	27	13	in	in	IN
1	27	14	front	front	NN
1	27	15	.	.	.
1	27	16	''	''	''
1	28	1	The	The	DT
1	28	2	fair	fair	JJ
1	28	3	boy	boy	NN
1	28	4	was	be	VBD
1	28	5	peering	peer	VBG
1	28	6	at	at	IN
1	28	7	the	the	DT
1	28	8	reef	reef	NN
1	28	9	through	through	IN
1	28	10	screwed-up	screwed-up	JJ
1	28	11	eyes	eye	NNS
1	28	12	.	.	.
1	29	1	``	``	``
1	29	2	All	All	DT
1	29	3	them	them	PRP
1	29	4	other	other	JJ
1	29	5	kids	kid	NNS
1	29	6	,	,	,
1	29	7	''	''	''
1	29	8	the	the	DT
1	29	9	fat	fat	JJ
1	29	10	boy	boy	NN
1	29	11	went	go	VBD
1	29	12	on	on	IN
1	29	13	.	.	.
1	30	1	``	``	``
1	30	2	Some	Some	DT
1	30	3	of	of	IN
1	30	4	them	them	PRP
1	30	5	must	must	MD
1	30	6	have	have	VB
1	30	7	got	get	VBN
1	30	8	out	out	RP
1	30	9	.	.	.
1	31	1	They	They	PRP
1	31	2	must	must	MD
1	31	3	have	have	VB
1	31	4	,	,	,
1	31	5	must	must	MD
1	31	6	n't	n't	RB
1	31	7	they	they	PRP
1	31	8	?	?	.
1	31	9	''	''	''
1	32	1	The	The	DT
1	32	2	fair	fair	JJ
1	32	3	boy	boy	NN
1	32	4	began	begin	VBD
1	32	5	to	to	TO
1	32	6	pick	pick	VB
1	32	7	his	his	PRP$
1	32	8	way	way	NN
1	32	9	as	as	RB
1	32	10	casually	casually	RB
1	32	11	as	a	IN
1	32	12	possible	possible	JJ
1	32	13	toward	toward	IN
1	32	14	the	the	DT
1	32	15	water	water	NN
1	32	16	.	.	.
1	33	1	He	He	PRP
1	33	2	tried	try	VBD
1	33	3	to	to	TO
1	33	4	be	be	VB
1	33	5	offhand	offhand	RB
1	33	6	and	and	CC
1	33	7	not	not	RB
1	33	8	too	too	RB
1	33	9	obviously	obviously	RB
1	33	10	uninterested	uninterested	JJ
1	33	11	,	,	,
1	33	12	but	but	CC
1	33	13	the	the	DT
1	33	14	fat	fat	JJ
1	33	15	boy	boy	NN
1	33	16	hurried	hurry	VBN
1	33	17	after	after	IN
1	33	18	him	him	PRP
1	33	19	.	.	.
1	34	1	``	``	``
1	34	2	Are	Are	VBP
1	34	3	n't	n't	RB
1	34	4	there	there	RB
1	34	5	any	any	DT
1	34	6	grownups	grownup	NNS
1	34	7	at	at	IN
1	34	8	all	all	DT
1	34	9	?	?	.
1	34	10	''	''	''
1	35	1	``	``	``
1	35	2	I	I	PRP
1	35	3	do	do	VBP
1	35	4	n't	n't	RB
1	35	5	think	think	VB
1	35	6	so	so	RB
1	35	7	.	.	.
1	35	8	''	''	''
1	36	1	The	The	DT
1	36	2	fair	fair	JJ
1	36	3	boy	boy	NN
1	36	4	said	say	VBD
1	36	5	this	this	DT
1	36	6	solemnly	solemnly	NN
1	36	7	;	;	:
1	36	8	but	but	CC
1	36	9	then	then	RB
1	36	10	the	the	DT
1	36	11	delight	delight	NN
1	36	12	of	of	IN
1	36	13	a	a	DT
1	36	14	realized	realized	JJ
1	36	15	ambition	ambition	NN
