#ChapterID	SentenceID	TokenID	Token	Lemma	POS
1	1	1	AT	AT	IN
1	1	2	THE	THE	NNP
1	1	3	``	``	``
1	1	4	ADMIRAL	ADMIRAL	NNP
1	1	5	BENBOW	BENBOW	NNP
1	1	6	''	''	''
1	1	7	Squire	Squire	NNP
1	1	8	Trelawney	Trelawney	NNP
1	1	9	,	,	,
1	1	10	Doctor	Doctor	NNP
1	1	11	Livesey	Livesey	NNP
1	1	12	,	,	,
1	1	13	and	and	CC
1	1	14	the	the	DT
1	1	15	rest	rest	NN
1	1	16	of	of	IN
1	1	17	these	these	DT
1	1	18	gentlemen	gentleman	NNS
1	1	19	having	have	VBG
1	1	20	asked	ask	VBD
1	1	21	me	me	PRP
1	1	22	to	to	TO
1	1	23	write	write	VB
1	1	24	down	down	RP
1	1	25	the	the	DT
1	1	26	whole	whole	JJ
1	1	27	particulars	particular	NNS
1	1	28	about	about	IN
1	1	29	Treasure	Treasure	NNP
1	1	30	Island	Island	NNP
1	1	31	,	,	,
1	1	32	from	from	IN
1	1	33	the	the	DT
1	1	34	beginning	beginning	NN
1	1	35	to	to	TO
1	1	36	the	the	DT
1	1	37	end	end	NN
1	1	38	,	,	,
1	1	39	keeping	keep	VBG
1	1	40	nothing	nothing	NN
1	1	41	back	back	RB
1	1	42	but	but	CC
1	1	43	the	the	DT
1	1	44	bearings	bearing	NNS
1	1	45	of	of	IN
1	1	46	the	the	DT
1	1	47	island	island	NN
1	1	48	,	,	,
1	1	49	and	and	CC
1	1	50	that	that	IN
1	1	51	only	only	RB
1	1	52	because	because	IN
1	1	53	there	there	EX
1	1	54	is	be	VBZ
1	1	55	still	still	RB
1	1	56	treasure	treasure	JJ
1	1	57	not	not	RB
1	1	58	yet	yet	RB
1	1	59	lifted	lift	VBN
1	1	60	,	,	,
1	1	61	I	I	PRP
1	1	62	take	take	VBP
1	1	63	up	up	RP
1	1	64	my	my	PRP$
1	1	65	pen	pen	NN
1	1	66	in	in	IN
1	1	67	the	the	DT
1	1	68	year	year	NN
1	1	69	of	of	IN
1	1	70	grace	grace	NN
1	1	71	17	17	CD
1	1	72	--	--	:
1	1	73	,	,	,
1	1	74	and	and	CC
1	1	75	go	go	VB
1	1	76	back	back	RB
1	1	77	to	to	TO
1	1	78	the	the	DT
1	1	79	time	time	NN
1	1	80	when	when	WRB
